Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 88.50     57.45    57.45  8077184     0.01     0.01  NeuraMem::tick()
  3.54     59.75     2.30 111061280     0.00     0.00  Conn::tick()
  2.02     61.06     1.31 16154368     0.00     0.00  NeuraRouter::tick()
  1.73     62.18     1.12  4887910     0.00     0.00  packet_routing(int, GlobalCounters*, std::vector<int, std::allocator<int> >*, std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >*)
  0.80     62.70     0.52 111061280     0.00     0.00  Conn::update_max_buffer_sizes()
  0.46     63.00     0.30   578655     0.00     0.00  Cache::is_data_in_cache(long long)
  0.35     63.23     0.23  6825634     0.00     0.00  NeuraMem::get_next_request()
  0.23     63.38     0.15 75688274     0.00     0.00  HashRequest::inc_reg_file_time()
  0.22     63.52     0.14   504824     0.00     0.13  NeuraTile::tick()
  0.18     63.64     0.12   423167     0.00     0.00  Cache::hit_routine(MemRequest*)
  0.17     63.75     0.11 12042440     0.00     0.00  HashRequest::is_ready_to_process()
  0.17     63.86     0.11                             MemoryController::WriteCallBack(unsigned long)
  0.17     63.97     0.11   504824     0.00     0.00  NeuraDispatcher::tick()
  0.14     64.06     0.09  1743451     0.00     0.00  InstX::get_type()
  0.14     64.15     0.09        1    90.00    90.00  MemoryController::load_dram_data()
  0.12     64.23     0.08  8077184     0.00     0.00  NeuraCore::rf_responder()
  0.12     64.31     0.08  4738175     0.00     0.00  NeuraRouter::get_dest_port(int)
  0.12     64.39     0.08   504824     0.00     0.00  MemoryController::tick()
  0.11     64.46     0.07  8077184     0.00     0.00  NeuraCore::tick()
  0.08     64.51     0.05  4631527     0.00     0.00  NeuraCore::process_pipelines()
  0.08     64.56     0.05  4591894     0.00     0.00  NeuraCore::process_hash_request(HashRequest*)
  0.08     64.61     0.05   108988     0.00     0.00  MemoryController::generate_memory_response(MemRequest*)
  0.06     64.65     0.04   108988     0.00     0.00  Cache::update_cache_table(MemResponse*)
  0.03     64.67     0.02   258723     0.00     0.00  MemoryController::update_mem_req_map_and_add_transaction(MemRequest*)
  0.03     64.69     0.02   251481     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > >, std::_Select1st<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::vector<MemRequest*, std::allocator<MemRequest*> > > > >::erase(unsigned long const&)
  0.03     64.71     0.02       19     1.05     1.05  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<unsigned long const, int> >*)
  0.03     64.73     0.02                             MemoryController::ReadCallBack(unsigned long)
  0.03     64.75     0.02                             Conn::get_sim_end()
  0.02     64.76     0.01   859913     0.00     0.00  Writer::get_next_response()
  0.02     64.77     0.01   735422     0.00     0.00  MemRequest::get_address()
  0.02     64.78     0.01   687643     0.00     0.00  MemResponse::MemResponse(GlobalCounters*, int, int, int, int, int, int, long long, MemRequest*, HashRequest*)
  0.02     64.79     0.01   578655     0.00     0.00  NeuraMem::generate_mem_response(MemRequest*, int)
